district_id,district,neighborhood,neighborhood_id,Insgesamt,unter 6 Jahren,6 - 15,15 - 18,18 - 27,27 - 45,45 - 55,55 - 65,"65 Jahren und
mehr","Darunter
weiblich"
11011011,Lichtenberg,Fennpfuhl,1111,34639,1662,2461,777,3995,10618,3400,3636,8090,17566
11011011,Lichtenberg,Rummelsburg,1112,27943,1748,2444,686,2906,11691,3768,2507,2193,13414
11012012,Reinickendorf,Reinickendorf,1201,86061,4788,6853,2102,10106,26262,9558,11139,15253,42600
11012012,Reinickendorf,Tegel,1202,38453,1799,2857,868,3515,9633,4387,5708,9686,19506
11012012,Reinickendorf,Konradshöhe,1203,6109,270,578,190,427,943,708,1083,1910,3165
11012012,Reinickendorf,Heiligensee,1204,17887,792,1688,549,1244,2953,2028,3165,5468,9083
11012012,Reinickendorf,Frohnau,1205,16309,633,1557,548,1197,2348,1997,2808,5221,8501
11012012,Reinickendorf,Hermsdorf,1206,16430,708,1452,472,1211,2778,1928,2768,5113,8558
11012012,Reinickendorf,Waidmannslust,1207,11661,745,1364,432,1218,2685,1334,1484,2399,5940
11012012,Reinickendorf,Lübars,1208,5058,191,488,188,400,847,627,888,1429,2569
11012012,Reinickendorf,Wittenau,1209,25497,1199,1820,562,2316,6162,2706,3972,6760,12620
11012012,Reinickendorf,Märkisches Viertel,1210,41199,2664,4760,1638,4743,9771,4662,4902,8059,21097
11012012,Reinickendorf,Borsigwalde,1211,7091,390,466,137,713,2069,773,1076,1467,3516
